monthly_availability,projected_monthly_income,room_types
27,4200,apartment
27,1920,apartment
10,4500,apartment
0,4500,apartment
0,750,room
6,1650,room
7,3000,room
12,2640,room
0,4500,apartment
6,9000,apartment
6,9000,apartment
7,2550,apartment
29,8970,apartment
0,4470,apartment
22,1800,room
0,9000,apartment
17,1350,room
6,2400,room
0,6000,apartment
0,6000,apartment
0,10500,apartment
0,7500,apartment
0,2400,room
0,1800,room
14,2400,room
0,3210,apartment
0,2970,apartment
7,6000,room
23,24990,apartment
0,3450,apartment
0,7950,apartment
0,3000,apartment
0,2670,apartment
0,7500,apartment
0,8340,apartment
0,4500,apartment
25,1470,room
0,5700,apartment
26,3870,apartment
21,8850,apartment
5,6690,apartment
7,17640,apartment
0,2100,room
5,3750,apartment
0,3810,apartment
1,7350,apartment
0,3000,room
30,2910,apartment
0,1620,room
0,2400,room
6,5970,apartment
24,12600,apartment
6,5850,apartment
0,1800,room
0,3750,apartment
25,5970,apartment
0,8100,apartment
0,1290,room
3,2370,apartment
10,5550,apartment
0,2070,apartment
4,1800,room
5,2400,apartment
0,10470,apartment
0,3540,apartment
9,2730,apartment
30,1650,room
1,16500,apartment
21,6000,apartment
0,3750,room
27,2970,apartment
0,12000,apartment
29,28500,apartment
0,2310,apartment
0,6000,apartment
11,4530,apartment
11,4200,apartment
23,7500,apartment
22,2670,apartment
0,1500,room
23,4500,apartment
28,2250,room
11,5850,apartment
0,810,room
6,6000,apartment
29,4950,apartment
0,15000,room
0,3000,apartment
25,3870,apartment
14,20940,apartment
27,2970,apartment
0,19500,apartment
0,2250,room
0,6000,apartment
0,1560,room
0,1500,room
0,1500,room
0,23850,apartment
30,2970,apartment
0,6450,apartment
0,12150,apartment
22,3600,room
18,9750,apartment
2,2070,apartment
0,2670,apartment
6,3090,room
29,2250,room
6,1680,room
0,7500,apartment
18,8250,apartment
29,5970,apartment
4,2610,apartment
14,9300,apartment
0,1320,room
0,3000,room
0,3600,apartment
28,9630,apartment
2,10620,apartment
29,3000,apartment
0,1770,room
5,1770,apartment
0,14250,apartment
0,1500,room
29,15000,apartment
22,13500,apartment
13,4200,apartment
23,7710,apartment
21,4470,apartment
9,4500,apartment
0,4050,apartment
11,2550,apartment
0,5490,apartment
0,3600,apartment
11,1500,room
0,4500,apartment
30,1800,room
0,3570,apartment
0,1470,room
25,3000,apartment
0,3750,room
10,4500,apartment
0,2700,apartment
28,1650,room
4,5310,apartment
16,3480,apartment
21,4500,apartment
6,1770,room
22,3000,apartment
18,2670,room
30,3600,apartment
9,4200,apartment
0,3600,room
6,4470,apartment
0,14850,apartment
22,18330,apartment
0,8250,apartment
6,2490,room
1,1500,room
2,2220,room
0,3000,apartment
13,3870,apartment
0,5850,apartment
0,13500,apartment
29,4500,apartment
0,13500,apartment
25,15990,apartment
16,9840,apartment
7,2400,room
0,5850,apartment
7,8970,apartment
0,7830,apartment
30,36000,apartment
29,8010,apartment
7,5850,apartment
0,3150,room
27,4470,apartment
0,1500,room
11,2250,apartment
20,5850,apartment
0,4500,apartment
3,5370,apartment
0,22500,apartment
0,7710,apartment
0,6000,room
0,8850,apartment
8,8970,apartment
0,3750,apartment
13,2040,apartment
13,5850,apartment
9,14970,apartment
0,2400,room
17,2190,apartment
18,4470,apartment
29,1200,room
0,2850,apartment
0,2100,room
0,7500,room
0,25500,apartment
27,5970,apartment
0,3000,room
26,2670,apartment
0,6000,apartment
23,2820,apartment
0,4500,apartment
13,4050,apartment
0,19500,apartment
0,1470,room
3,1170,room
5,7500,apartment
28,2250,apartment
19,14100,apartment
0,6000,apartment
0,3000,apartment
0,12000,apartment
23,18000,room
27,8250,apartment
0,7500,apartment
0,3000,room
8,5100,apartment
0,10500,apartment
26,4500,apartment
12,3750,apartment
11,3000,apartment
0,18000,apartment
6,3900,apartment
0,3600,apartment
25,2100,room
30,1800,room
0,24000,apartment
0,3000,apartment
12,4500,apartment
19,1560,room
0,12000,apartment
27,4050,apartment
19,8730,apartment
23,3330,apartment
0,14970,apartment
0,2250,room
4,3000,room
7,2670,apartment
3,8850,apartment
25,8250,apartment
0,2250,room
0,28500,apartment
0,4920,apartment
16,8550,apartment
7,3750,room
19,2100,room
0,2400,apartment
0,4350,apartment
0,4500,apartment
3,2850,apartment
29,4770,apartment
12,8250,apartment
5,2850,apartment
0,5970,apartment
0,2100,apartment
0,13500,apartment
0,12000,apartment
0,27000,apartment
0,4500,apartment
0,12000,apartment
7,8250,apartment
0,3300,apartment
17,11850,apartment
0,6450,apartment
2,4890,apartment
0,5100,apartment
0,6000,apartment
2,1770,room
0,4500,apartment
30,1800,room
0,75000,apartment
0,2850,apartment
0,2670,room
29,4500,apartment
29,4170,apartment
20,4500,apartment
1,3000,apartment
29,12750,apartment
0,3000,room
12,4110,apartment
0,1350,room
0,3750,room
0,1800,room
0,1050,room
1,2400,room
0,3000,room
11,5970,apartment
14,4500,apartment
0,6000,apartment
0,9000,apartment
9,5250,apartment
0,6000,apartment
0,2520,apartment
0,1050,room
29,1500,room
0,1560,room
25,25500,apartment
0,4500,apartment
29,1950,room
17,2310,apartment
0,15750,apartment
0,4500,room
1,1950,apartment
9,3000,apartment
22,4500,apartment
0,1800,room
6,2250,room
6,2700,apartment
27,1500,room
0,2550,room
0,2370,apartment
0,2130,room
0,1740,room
6,2640,room
0,8250,apartment
0,1200,room
0,2250,apartment
0,3750,apartment
18,3870,apartment
0,2250,room
7,29970,apartment
0,9000,apartment
4,1650,room
10,2760,apartment
26,5400,apartment
13,2100,room
2,2070,room
0,1350,room
30,3600,apartment
21,5700,apartment
0,8250,apartment
0,7800,apartment
0,7500,apartment
0,7650,apartment
14,2550,apartment
6,5400,apartment
0,4050,apartment
0,4020,apartment
0,2400,room
14,4500,apartment
0,2700,room
0,1500,room
0,2910,room
0,4500,room
25,1500,room
14,9750,apartment
0,7500,apartment
0,1800,room
0,1800,room
0,1200,room
0,2550,room
0,1950,room
0,2100,room
0,1740,room
28,4950,apartment
6,7470,apartment
5,2100,room
19,2070,room
0,4500,apartment
0,7350,room
0,7500,apartment
0,7500,apartment
12,9000,apartment
5,2100,room
6,2880,room
4,11850,apartment
22,8250,apartment
28,8970,apartment
20,5640,apartment
14,1800,room
0,3750,apartment
15,7500,room
7,2820,apartment
0,1950,room
0,3000,room
0,5250,apartment
6,5670,apartment
25,4680,room
3,1650,apartment
0,1500,room
0,6000,apartment
0,1470,room
1,3750,room
0,2700,room
0,1500,room
0,5700,apartment
0,3000,apartment
0,9000,apartment
0,2400,apartment
0,7500,apartment
28,5070,apartment
1,4920,apartment
0,1980,room
27,4470,apartment
0,5250,apartment
27,2700,apartment
0,24000,apartment
0,7500,apartment
0,7500,apartment
3,2400,room
27,2670,apartment
23,5700,apartment
27,2550,room
0,9870,room
29,2040,room
1,1470,room
10,2550,room
1,2490,apartment
0,5400,room
27,6000,apartment
4,1200,room
29,1650,room
5,3000,apartment
0,1500,room
0,1200,room
6,4500,apartment
0,3000,room
0,15000,apartment
0,13500,apartment
0,3000,room
21,4500,apartment
12,5250,apartment
24,8250,apartment
0,2670,room
0,30000,apartment
14,1650,room
0,2850,room
30,2610,apartment
0,3030,apartment
0,2670,room
0,1200,room
0,1500,room
29,3750,room
1,7500,apartment
0,3000,room
27,3600,apartment
0,4500,room
27,4800,apartment
0,6000,apartment
2,4200,apartment
0,2400,apartment
5,29850,apartment
30,9450,apartment
0,1950,room
1,14400,apartment
30,4950,apartment
0,1200,room
26,2940,apartment
0,3300,apartment
4,2850,apartment
9,300000,room
14,35700,apartment
0,6000,apartment
7,7470,apartment
19,4350,apartment
0,5100,apartment
0,1260,room
0,2700,room
28,6750,apartment
2,3990,apartment
24,9150,apartment
30,1350,room
0,7500,room
29,3300,apartment
30,15000,apartment
8,5100,apartment
0,7500,apartment
0,5250,room
0,6300,apartment
18,4950,apartment
29,10200,apartment
11,990,room
0,2880,room
0,3570,apartment
14,2310,room
0,2250,room
0,2820,room
25,4680,room
5,2100,room
0,4500,room
22,6000,apartment
30,6000,apartment
0,7950,room
21,1110,room
22,4950,apartment
3,2760,apartment
0,16500,apartment
0,49410,apartment
0,91470,apartment
29,51240,apartment
0,2460,apartment
14,3810,apartment
2,1200,room
4,3750,apartment
20,8550,apartment
0,2700,room
0,3900,room
0,3510,room
8,1800,room
28,23250,apartment
0,2970,apartment
26,13350,apartment
0,1140,room
0,4200,apartment
0,1800,room
18,3600,apartment
10,5040,apartment
14,2040,apartment
29,2370,apartment
19,9150,apartment
0,5400,room
0,1290,room
14,4170,apartment
15,10500,apartment
1,2670,room
0,2280,room
30,3900,apartment
16,6450,apartment
5,9870,apartment
7,18000,apartment
0,990,apartment
14,2850,room
21,3870,apartment
9,7500,apartment
27,4950,apartment
15,2190,apartment
6,2670,apartment
22,6870,apartment
23,7500,apartment
0,4500,apartment
0,2250,room
7,18000,apartment
0,4500,apartment
0,3000,apartment
29,6000,apartment
2,4470,apartment
6,2370,room
6,1800,room
7,5250,apartment
26,9000,apartment
2,1800,room
0,3300,apartment
22,4470,apartment
13,10470,apartment
6,2820,apartment
0,7500,room
19,900,room
22,4650,apartment
22,11850,apartment
2,13350,apartment
16,14550,apartment
29,11850,apartment
0,20850,apartment
27,16500,apartment
25,9000,apartment
28,13500,apartment
24,14850,apartment
29,10500,apartment
25,17400,apartment
28,9750,apartment
22,17400,apartment
24,15750,apartment
26,17850,apartment
29,1050,room
0,8070,apartment
20,4590,apartment
6,5670,apartment
13,2550,room
29,5070,apartment
21,3570,apartment
29,2550,room
0,2700,apartment
13,42000,apartment
6,10500,apartment
18,11250,apartment
11,27000,apartment
0,5970,apartment
23,9900,apartment
4,1620,room
29,1350,room
0,10500,apartment
8,1290,room
0,1500,room
30,1500,room
20,3000,apartment
16,6000,apartment
28,7470,apartment
13,5250,apartment
0,5370,apartment
22,29850,apartment
28,4170,apartment
30,7500,apartment
21,4800,apartment
29,6750,apartment
2,2970,apartment
6,12000,apartment
27,1140,room
4,4050,apartment
6,1950,room
14,6000,apartment
7,4500,room
17,12000,apartment
27,5970,apartment
15,2340,apartment
6,1680,room
6,1350,apartment
20,12000,apartment
14,4800,apartment
29,12000,apartment
0,3000,room
27,14970,apartment
21,9750,apartment
5,1350,room
29,45000,apartment
0,7470,apartment
27,3570,apartment
0,1200,room
19,5250,apartment
22,9000,apartment
2,2250,room
27,20850,apartment
21,17850,apartment
23,22500,apartment
20,5040,apartment
0,2070,room
14,5250,room
28,1800,room
26,4350,apartment
23,8850,apartment
14,3450,apartment
0,2970,apartment
29,9600,apartment
14,3600,apartment
24,23970,apartment
4,2250,apartment
30,2700,room
5,2760,apartment
19,9270,apartment
12,1800,room
28,1020,room
30,3750,room
29,4500,room
28,6000,apartment
6,6000,apartment
18,1860,room
27,990,room
0,7500,apartment
6,1470,room
16,8550,apartment
13,2550,room
21,4500,apartment
0,1650,apartment
30,7500,apartment
28,10500,apartment
29,6000,apartment
28,2550,room
0,2670,apartment
2,2250,room
2,3060,apartment
0,1500,apartment
16,5370,apartment
6,8940,apartment
0,2400,room
0,1890,room
0,4200,apartment
0,3000,apartment
29,2670,room
13,2340,apartment
0,3600,apartment
0,1080,room
13,3750,apartment
28,3060,apartment
30,13290,apartment
1,2310,apartment
24,10500,apartment
28,2910,room
20,4050,apartment
25,1950,room
6,2700,room
18,2820,room
2,2250,apartment
26,2970,room
28,4470,apartment
1,7500,apartment
18,3510,apartment
28,12000,apartment
0,3000,apartment
2,2970,apartment
28,3300,apartment
0,3000,room
0,2250,apartment
5,5820,apartment
4,5970,apartment
1,1950,apartment
5,2550,apartment
0,5250,apartment
4,1500,apartment
25,16350,apartment
24,18000,apartment
29,13350,apartment
19,14550,apartment
25,20850,apartment
26,15750,apartment
19,17850,apartment
26,17850,apartment
22,23850,apartment
22,29850,apartment
27,8850,apartment
24,16500,apartment
28,15600,apartment
22,12600,apartment
21,15000,apartment
26,20850,apartment
26,19500,apartment
28,13500,apartment
25,20850,apartment
26,17850,apartment
19,23850,apartment
26,12750,apartment
25,17850,apartment
25,21600,apartment
17,36000,apartment
22,11850,apartment
28,17850,apartment
23,18000,apartment
14,20850,apartment
23,23850,apartment
0,4500,apartment
27,29850,apartment
30,5700,apartment
7,1950,room
4,2970,apartment
14,3300,apartment
0,2550,apartment
21,1950,apartment
28,1950,room
0,3150,apartment
26,3750,apartment
0,4050,apartment
22,5100,apartment
27,1500,room
9,10500,apartment
27,20850,apartment
29,1500,room
5,3960,apartment
14,29970,apartment
25,9120,apartment
7,3270,apartment
16,2100,room
6,2850,apartment
30,8970,apartment
10,3210,apartment
30,6750,room
13,3450,apartment
0,23250,apartment
28,33000,apartment
0,1410,room
10,2250,room
22,12750,apartment
0,3000,room
23,2400,apartment
4,1440,room
19,6000,apartment
23,2370,apartment
21,2400,apartment
17,3600,apartment
28,6600,apartment
16,5850,apartment
25,2550,apartment
28,11250,apartment
11,3300,room
14,5970,apartment
30,1950,room
13,5250,apartment
30,2070,room
21,2400,apartment
11,2700,apartment
4,1950,apartment
0,3450,apartment
29,2970,room
29,2670,room
14,4350,room
0,6000,apartment
6,8970,apartment
14,6750,apartment
13,5370,apartment
0,3810,apartment
29,6000,apartment
28,2790,apartment
27,4500,apartment
30,9000,apartment
0,4500,room
1,1800,room
13,2760,apartment
9,12540,apartment
28,14400,apartment
26,8100,apartment
28,14820,apartment
30,2070,room
13,18630,apartment
13,21750,apartment
27,3270,apartment
27,3270,apartment
26,3270,apartment
28,1500,room
20,3750,apartment
24,14970,apartment
3,960,room
29,2670,room
29,2370,room
30,2670,room
30,2670,room
30,3570,room
30,2970,room
0,3900,apartment
13,2040,apartment
25,11580,apartment
11,2040,apartment
0,4710,apartment
12,2940,apartment
16,4800,apartment
29,29670,apartment
20,2100,apartment
29,3870,apartment
24,8250,apartment
21,6600,apartment
29,1050,room
24,5850,apartment
20,22500,apartment
28,5250,apartment
5,4470,apartment
11,1770,apartment
0,1770,room
27,3000,apartment
5,2250,apartment
26,4050,apartment
30,2520,room
29,1770,room
27,18000,apartment
0,1800,room
18,3750,apartment
29,45000,apartment
2,1440,room
0,6000,apartment
1,3450,apartment
16,3570,apartment
1,1650,room
14,1230,room
0,3870,apartment
0,2370,apartment
12,2550,apartment
7,7500,room
0,7500,apartment
26,11850,apartment
0,5250,apartment
13,2850,room
27,1200,room
10,9000,apartment
12,1500,room
6,1500,room
26,7500,apartment
0,1800,room
4,7770,apartment
25,4380,apartment
29,2550,room
25,2550,apartment
9,11250,apartment
19,12750,apartment
2,1620,room
14,1500,room
9,25710,apartment
10,15000,apartment
0,2700,apartment
11,1500,room
24,3390,apartment
0,2100,room
27,1260,room
6,2100,room
25,13500,apartment
23,29850,apartment
4,13500,apartment
28,5970,apartment
0,1650,room
0,2970,apartment
0,1320,room
6,3570,apartment
30,3870,apartment
22,2370,apartment
7,1800,room
13,4200,apartment
0,5670,apartment
0,3000,apartment
30,2370,room
8,4800,apartment
21,3300,apartment
15,7770,apartment
18,6000,apartment
0,5400,apartment
27,4950,room
26,5400,apartment
17,2220,apartment
0,4500,apartment
24,3600,room
10,2670,apartment
7,2250,apartment
30,9150,apartment
29,13410,apartment
30,11700,apartment
29,7590,apartment
30,5280,apartment
26,4920,apartment
25,4980,apartment
30,6000,apartment
27,2970,apartment
30,6090,apartment
29,4140,apartment
30,6450,apartment
29,14490,apartment
27,13560,apartment
6,2250,room
0,2670,room
28,3600,apartment
26,4680,apartment
13,2430,apartment
6,5850,apartment
13,6000,apartment
22,12000,apartment
5,14970,apartment
5,17970,apartment
27,26850,apartment
10,7500,apartment
0,6750,apartment
27,14850,apartment
16,13500,apartment
4,7800,apartment
0,2970,room
6,1650,apartment
0,1470,room
6,4500,apartment
5,2670,apartment
13,2550,room
28,13500,apartment
26,4500,apartment
15,3150,apartment
4,7470,apartment
20,4170,apartment
23,2670,apartment
6,2910,apartment
0,5400,apartment
26,2970,apartment
0,4170,apartment
0,2550,apartment
0,1350,room
23,1650,room
0,3210,apartment
0,3210,apartment
0,3210,apartment
0,3840,apartment
0,3840,apartment
0,3840,apartment
0,3840,apartment
0,3840,apartment
30,2670,room
0,3840,apartment
7,5250,apartment
2,2670,apartment
11,3600,apartment
30,5850,room
0,1590,room
30,1050,room
14,27000,apartment
6,2490,room
0,1350,room
29,1950,room
29,2970,apartment
0,1440,room
0,1050,room
20,4200,apartment
0,2250,apartment
28,3450,apartment
0,3450,apartment
12,10500,apartment
4,1260,room
30,4290,apartment
23,12000,apartment
0,1050,room
28,4740,apartment
27,10350,apartment
0,2280,apartment
4,2940,apartment
7,3210,apartment
19,5670,apartment
20,2100,room
2,1170,room
24,3000,apartment
6,5970,apartment
21,4050,apartment
13,1650,room
7,3270,apartment
12,7500,apartment
8,1950,apartment
11,4800,apartment
4,2970,apartment
2,8550,apartment
3,2100,apartment
27,1350,room
0,1950,apartment
25,2850,apartment
3,2850,apartment
0,3600,apartment
25,4500,apartment
9,13500,apartment
26,11400,apartment
25,6750,apartment
22,33000,apartment
29,5250,apartment
3,1560,apartment
26,3270,apartment
1,2040,room
23,5070,apartment
0,3450,apartment
21,4950,apartment
0,3750,apartment
27,15000,apartment
6,5250,apartment
13,2550,apartment
3,1500,room
0,2220,apartment
7,3750,room
22,4500,apartment
28,3660,apartment
1,5250,apartment
7,8970,apartment
21,1350,room
0,1140,room
0,2490,apartment
0,1410,room
0,10500,apartment
29,4230,apartment
11,5070,apartment
17,49410,apartment
0,11970,apartment
0,1170,room
18,11850,apartment
19,20850,apartment
1,11970,apartment
12,2700,apartment
2,1860,room
7,4470,apartment
21,2160,apartment
6,6000,apartment
0,6300,apartment
1,2970,apartment
6,2400,room
7,2850,room
7,13500,apartment
0,5250,apartment
27,7980,apartment
13,6300,apartment
27,4500,apartment
14,1350,room
0,3270,apartment
0,3990,apartment
18,3900,apartment
0,6600,apartment
8,2400,apartment
13,1050,room
0,4500,room
7,30000,apartment
15,7200,apartment
0,16500,apartment
16,3750,apartment
1,2820,apartment
30,1200,room
30,1260,room
23,2910,apartment
5,1950,room
0,3990,apartment
10,1530,room
28,3570,apartment
8,4500,apartment
7,6270,apartment
0,4200,apartment
0,840,room
26,20250,apartment
27,1500,apartment
4,4020,apartment
0,1230,room
13,8250,apartment
29,9000,apartment
19,3330,apartment
0,3000,room
6,2100,apartment
1,1500,room
22,15000,apartment
0,2250,apartment
0,1860,apartment
25,3870,apartment
8,16500,apartment
0,4500,apartment
0,10500,apartment
0,4500,apartment
23,9510,apartment
29,8250,apartment
0,1170,room
0,1770,room
7,7230,apartment
17,12360,apartment
29,2220,apartment
0,3150,apartment
6,5670,apartment
29,7500,apartment
28,1110,room
13,2670,apartment
1,1800,apartment
6,3270,apartment
11,3600,apartment
14,2100,apartment
0,1290,room
8,1650,room
7,26670,apartment
14,4500,room
4,1500,room
0,1380,room
0,1440,room
11,3750,apartment
4,1950,room
26,12750,apartment
28,10710,apartment
1,3300,apartment
21,16500,apartment
5,3570,apartment
5,3570,apartment
0,1950,room
12,3750,apartment
0,8370,apartment
22,2100,apartment
22,2280,apartment
0,2880,room
10,9000,apartment
0,2850,apartment
19,3150,apartment
21,7470,apartment
11,1950,room
18,3750,apartment
23,9000,apartment
30,2070,room
30,1650,room
26,9000,apartment
13,4500,apartment
0,1650,room
0,10770,apartment
25,10500,apartment
15,2340,apartment
21,4470,apartment
19,1950,room
6,2970,apartment
20,1950,apartment
30,6870,apartment
0,2970,room
24,3180,apartment
1,1980,room
8,2100,room
14,10500,apartment
26,8250,apartment
30,5550,apartment
0,1560,room
27,12600,apartment
0,6000,apartment
12,2700,apartment
30,4350,apartment
17,3600,apartment
14,15000,apartment
22,6750,apartment
29,2700,apartment
5,2220,apartment
29,6600,apartment
19,4050,apartment
0,900,room
0,1650,room
28,2820,apartment
0,2400,apartment
14,3750,apartment
5,1170,room
7,3150,apartment
27,4200,apartment
0,1560,room
24,16200,apartment
20,20850,apartment
0,2970,apartment
0,2970,apartment
0,2970,apartment
0,3390,apartment
0,3390,apartment
19,2370,room
1,4350,apartment
19,9750,apartment
14,82500,apartment
26,13500,apartment
11,5250,apartment
22,3090,apartment
0,2550,room
14,2850,apartment
30,42000,apartment
0,2250,apartment
4,4500,apartment
20,3900,apartment
23,4200,apartment
29,5400,apartment
0,1200,room
16,4200,apartment
6,3630,apartment
7,8670,apartment
21,1800,room
1,6000,apartment
0,5250,apartment
24,1260,room
14,7500,apartment
6,5850,apartment
7,12450,apartment
5,1800,room
20,6810,apartment
0,2250,room
0,2250,room
14,9870,apartment
9,4050,apartment
27,4650,apartment
0,2040,apartment
21,6000,apartment
9,21000,apartment
6,1950,room
0,3000,room
9,8520,apartment
6,2070,apartment
0,4200,room
0,1350,room
14,4650,apartment
7,7470,room
7,4830,room
27,3750,apartment
6,18000,apartment
6,4350,apartment
30,2070,room
28,960,room
0,2400,room
14,22500,apartment
29,3900,apartment
1,11970,apartment
29,3750,apartment
24,4200,apartment
0,1350,room
17,4170,apartment
30,5970,room
5,2370,room
9,10950,apartment
8,13950,apartment
23,2700,apartment
29,15660,apartment
30,6870,apartment
26,4800,apartment
0,1110,room
12,8250,apartment
6,2400,room
30,40470,apartment
23,9000,apartment
1,2280,apartment
13,4020,apartment
4,2670,apartment
6,4500,apartment
24,17850,apartment
28,29850,apartment
0,20250,apartment
25,16200,apartment
28,10050,apartment
28,4920,apartment
28,3390,apartment
18,1470,room
0,8100,apartment
0,2490,apartment
0,1650,apartment
13,3870,apartment
4,7350,apartment
0,4650,apartment
9,6000,apartment
11,5010,apartment
22,13740,apartment
25,12000,apartment
28,5760,apartment
20,12510,apartment
23,8100,apartment
24,13740,apartment
25,9990,apartment
28,4740,apartment
27,7260,apartment
22,7260,apartment
21,6000,apartment
21,16500,apartment
0,1320,room
28,5970,apartment
24,8970,apartment
11,5970,apartment
12,3000,apartment
27,14250,apartment
0,5970,apartment
4,3660,apartment
18,2700,apartment
23,11250,apartment
0,2970,room
11,2250,apartment
6,30900,apartment
14,5970,apartment
21,25950,apartment
30,20850,apartment
30,31470,apartment
6,2910,apartment
29,3420,apartment
29,3150,apartment
10,6060,apartment
27,9150,apartment
4,3750,apartment
24,2670,apartment
0,1920,apartment
2,5970,apartment
0,1800,room
14,2760,apartment
9,24000,apartment
10,14850,apartment
26,3240,apartment
7,4950,apartment
0,1500,room
7,2100,apartment
0,4500,apartment
6,4230,apartment
14,2070,room
0,2550,room
19,2670,apartment
14,1200,room
25,2250,room
5,5310,apartment
0,1950,room
26,4470,apartment
0,4500,apartment
13,6120,apartment
17,5940,apartment
6,3330,apartment
14,3000,apartment
1,4470,apartment
30,20220,apartment
30,42000,apartment
14,4500,apartment
6,4500,apartment
14,4500,apartment
11,4500,apartment
16,4500,apartment
7,8400,apartment
20,3870,apartment
22,4650,apartment
0,2400,apartment
25,9030,apartment
14,15000,apartment
5,4170,apartment
9,18000,apartment
0,10650,apartment
5,2880,apartment
14,2340,apartment
14,1200,room
6,6270,apartment
26,14970,apartment
27,2010,room
2,2370,apartment
12,3570,apartment
28,3570,apartment
6,3300,room
10,2970,apartment
18,10500,apartment
29,1320,room
3,2250,room
25,4770,apartment
20,3150,apartment
14,3900,apartment
15,5970,apartment
14,8910,apartment
27,4500,apartment
0,3000,apartment
8,15000,apartment
5,5280,apartment
12,9870,apartment
29,4050,apartment
3,3750,apartment
29,4530,apartment
0,2700,apartment
0,2070,apartment
14,4500,apartment
25,5220,apartment
30,5940,apartment
30,6360,apartment
13,7500,apartment
30,15750,apartment
0,6750,apartment
0,3300,apartment
23,15000,apartment
6,1470,apartment
28,8850,apartment
18,4650,apartment
3,1500,apartment
27,1800,room
27,3690,apartment
0,1350,room
26,5220,apartment
27,4500,apartment
0,3750,apartment
13,9450,apartment
22,13500,apartment
13,3840,apartment
0,1500,room
21,7860,apartment
22,14100,apartment
8,2400,apartment
2,4800,apartment
30,4200,apartment
0,13800,apartment
0,2970,apartment
21,11250,apartment
20,17520,apartment
5,15000,apartment
27,1230,room
16,4110,apartment
5,5250,apartment
0,1650,room
26,6750,apartment
22,4800,apartment
10,3600,apartment
1,1470,room
14,3060,apartment
14,1980,room
27,3600,apartment
0,8850,apartment
5,3750,apartment
28,2190,apartment
12,5250,apartment
6,1200,room
11,6000,apartment
3,2220,apartment
7,4470,apartment
0,2100,room
0,5370,apartment
13,12000,apartment
0,6000,apartment
4,750,room
23,5250,apartment
21,17100,apartment
28,11760,apartment
17,17250,apartment
21,750,room
2,2550,apartment
14,20490,apartment
30,7500,apartment
0,6000,apartment
29,3600,apartment
5,2700,room
0,5250,apartment
19,1470,room
22,16800,apartment
0,5250,apartment
27,24000,apartment
4,2550,room
13,5970,apartment
22,6000,room
14,2040,apartment
18,17850,apartment
3,3750,apartment
12,5670,apartment
22,4200,apartment
0,3600,apartment
6,2580,apartment
2,19800,apartment
0,2970,apartment
19,1650,room
0,11820,apartment
13,9000,apartment
21,5670,apartment
0,2040,room
6,4350,apartment
30,1200,room
7,1680,room
0,5550,apartment
5,75000,apartment
26,3750,apartment
12,2370,apartment
21,4800,apartment
4,2070,room
12,2520,apartment
20,3570,apartment
9,3810,apartment
0,1740,room
6,5970,apartment
30,18000,apartment
17,6450,apartment
25,8970,apartment
0,2970,apartment
6,9750,apartment
14,10500,apartment
13,7350,apartment
0,2040,apartment
9,10500,apartment
0,3450,room
22,3570,room
27,5670,apartment
0,2070,apartment
17,4050,apartment
0,2850,room
30,16500,apartment
29,5250,apartment
29,4500,apartment
1,2850,apartment
12,4770,apartment
0,2940,room
0,5970,apartment
15,1200,room
27,19650,apartment
29,3090,apartment
30,4110,apartment
0,4980,apartment
18,3270,apartment
26,3090,apartment
29,3750,apartment
27,2640,apartment
22,3900,apartment
5,2100,apartment
0,2100,apartment
6,11850,apartment
25,31500,apartment
24,28500,apartment
26,16500,apartment
24,20850,apartment
0,2250,apartment
6,4350,apartment
29,1350,room
6,3570,apartment
6,1950,room
27,3300,apartment
0,8250,apartment
10,11250,apartment
29,840,room
14,21750,apartment
26,5400,room
26,5400,apartment
13,2850,apartment
0,20640,apartment
9,4050,apartment
11,2550,room
2,2250,room
15,2040,apartment
21,1800,room
0,5250,apartment
29,7500,apartment
29,1320,room
0,2250,apartment
14,7500,apartment
0,18000,apartment
11,2970,apartment
0,2100,apartment
0,1080,room
0,6000,apartment
27,6750,apartment
16,4950,apartment
26,26940,apartment
0,6330,apartment
28,4320,apartment
0,17850,apartment
7,2700,apartment
11,4500,apartment
6,4470,apartment
5,5070,apartment
29,5040,apartment
28,7200,apartment
14,1890,room
8,12000,apartment
24,10980,apartment
26,12000,apartment
28,13740,apartment
24,18750,apartment
26,14760,apartment
28,8250,apartment
0,1440,room
30,2460,apartment
29,1380,room
18,2100,room
11,3750,apartment
6,1110,room
0,1140,room
28,4950,apartment
0,9000,apartment
0,5100,apartment
2,1440,room
0,1500,room
7,18000,room
13,2970,apartment
0,9750,apartment
27,4500,apartment
26,21090,apartment
26,7530,apartment
26,10680,apartment
6,1950,room
0,8970,apartment
9,4020,apartment
6,1770,apartment
9,2460,apartment
21,12750,apartment
23,10890,apartment
26,5730,apartment
26,6060,apartment
21,10620,apartment
23,8610,apartment
25,6030,apartment
26,9570,apartment
28,10800,apartment
24,26520,apartment
21,15480,apartment
23,17070,apartment
27,10620,apartment
26,15150,apartment
24,5790,apartment
26,16620,apartment
22,24480,apartment
25,27990,apartment
23,26130,apartment
3,21420,apartment
27,17400,apartment
21,24180,apartment
0,32760,apartment
25,12480,apartment
22,19740,apartment
22,17580,apartment
18,28620,apartment
23,15540,apartment
24,6300,apartment
22,10290,apartment
21,22950,apartment
26,14610,apartment
26,32040,apartment
26,23400,apartment
27,5670,apartment
25,29730,apartment
26,5700,apartment
28,14550,apartment
0,25800,apartment
